Kodas,EAN,stock_local,stock_supplier_fast,stock_supplier_slow,total_stock
0200,5200384510200,0,46,0,46
03929,5200384503929,0,12,0,12
03989677,5900511612387,0,0,1,1
04056,5200384504056,0,0,0,0
04209,5200384504209,0,42,0,42
0768,5200384500768,0,0,0,0
0775,5200384500775,0,0,0,0
0782,5200384500782,0,0,0,0
1007,5906269344044,0,0,15,15
1008,5906269344075,0,0,15,15
1009,5904276097038,0,0,0,0
1010,5907645897048,0,0,15,15
10125,,0,0,1,1
10202,3760039941022,0,91,0,91
10207,5060420234046,0,0,0,0
10265,5907784465122,0,0,1,1
10305,5060062999723,0,0,1,1
10312,5900004074524,0,0,0,0
10340,5905127150360,0,0,15,15
10429,5901912241589,0,0,5,5
10430,5907645897109,0,0,0,0
10458,5902675043458,0,0,1,1
10543,5903753003371,0,0,0,0
10567,072239304969,0,0,5,5
1060,5906269344464,0,0,15,15
10649,,0,0,15,15
10669,5904356720276,0,0,1,1
1068,5900516402341,0,0,0,0
10725,5907644002542,0,0,15,15
10731,5710409100441,0,15,0,15
10766,5906269344181,0,0,15,15
108,5901560828248,0,0,15,15
10883,4008600283386,0,0,5,5
10884,4008600115915,0,0,1,1
10902,5908268747109,0,0,1,1
10946,5900516402358,0,0,15,15
10953,,0,0,15,15
110103,5425020500029,0,2,0,2
110112,5425020500036,0,1,0,1
110203,5425020500043,0,3,0,3
110212,5425020500050,0,3,0,3
110403,5425020500067,0,0,0,0
110412,5425020500074,0,1,0,1
110503,5425020500081,0,1,0,1
110512,5425020500098,0,6,0,6
110603,5425020500104,0,0,0,0
110612,5425020500111,0,0,0,0
110703,5425020500128,0,1,0,1
110712,5425020500135,0,2,0,2
110803,5425020500142,0,2,0,2
110812,5425020500159,0,2,0,2
110903,5425020500166,0,2,0,2
110912,5425020500173,0,16,0,16
111003,5425020500180,0,1,0,1
111012,5425020500197,0,4,0,4
111103,5425020500203,0,1,0,1
111112,5425020500210,0,0,0,0
111122,5906197802661,0,0,1,1
111203,5425020500234,0,0,0,0
111212,5425020500241,0,0,0,0
11124,5060062996074,0,0,15,15
111303,5425020500265,0,0,0,0
111312,5425020500272,0,1,0,1
111403,5425020500685,0,2,0,2
111412,5425020500692,0,3,0,3
111503,5425020500296,0,1,0,1
111512,5425020500302,0,1,0,1
111603,5425020500340,0,2,0,2
111610,5425020500357,0,1,0,1
11167,5908268747093,0,0,5,5
111703,5425020500807,0,4,0,4
