Kodas,EAN,Likutis
25129,5901435403464,15
6743,5900516601546,15
5914717,812895003185,1
5914718,812895003611,1
5914719,812895003758,1
780709,5901691956940,1
780710,5901691956957,0
780711,5901691956964,15
781037,5901691957053,0
781038,5901691957046,0
789837,5901691957954,15
789835,5901691957930,5
789833,5901691957916,15
789829,5901691957879,15
789827,5901691957855,15
789831,5901691957893,1
5910055,5901691959606,0
5910056,5901691959613,0
5910057,5901691959620,0
5910058,5901691959637,0
5911362,5901691959781,15
5908244,5901691959057,15
5908245,5901691959064,15
5911363,5901691959798,0
5907249,5901691959026,0
5910132,5901691959644,0
5910567,5901691959675,0
5910568,5901691959682,0
5910569,5901691959699,0
5910570,5901691959705,0
5902736,5901691958494,0
5911414,5901691959804,15
5902737,5901691958500,0
5903259,5901691958517,0
5911415,5901691959811,0
5911422,5901691959866,0
5911423,5901691959859,1
5911424,5901691959842,5
5911425,5901691959835,5
5911426,5901691959828,1
780113,,1
5913099,5901691959231,15
5913098,5901691959248,15
5913100,5901691959255,15
5913101,5901691959262,0
5912550,5901691959958,15
5912551,5901691959965,15
5912553,5901691959972,15
5912554,5901691959989,15
5907840,5901691959095,5
5907843,5901691959101,0
5907844,5901691959118,0
5907845,5901691959125,0
5910092,5901691959651,0
5908249,5901691957817,1
5910879,5901691959460,5
5910878,5901691959453,5
5905810,5901691958753,1
5905811,5901691958760,1
764724,5901691958777,5
5905803,5901691958784,0
5907348,5901691958845,1
786186,5901691957527,5
5911948,5901691958685,0
5910133,5901691958692,0
5908248,5901691958708,0
789204,5901691957657,15
789202,5901691957671,15
789200,5901691957695,5
789196,5901691957619,15
789192,5901691957558,15
789198,5901691957633,15
789205,5901691957664,15
789203,5901691957688,15
789193,5901691957565,5
789199,5901691957640,15
789838,5901691957961,5
789836,5901691957947,15
789834,5901691957923,15
789830,5901691957886,15
789828,5901691957862,15
789832,5901691957909,5
5902738,5901691958319,0
5902739,5901691958326,0
5902740,5901691958333,0
5902741,5901691958340,0
5902742,5901691958357,0
768218,,1
789375,5901691958029,1
789375,5901691958029,1
5912766,5901691959910,5
5912767,5901691959927,5
5912768,5901691959934,1
5912769,5901691959941,5
5902700,5901691958210,0
5909632,5901691959149,5
5908285,5901691959156,1
5908489,5901691959170,1
5908490,5901691959163,1
5908491,5901691959187,1
781369,5901691957114,0
787962,5901691957756,0
781370,5901691957121,0
781371,5901691957138,0
5902703,5901691958364,15
5902704,5901691958371,0
5902705,5901691958388,0
5907732,5901691958944,0
5902706,5901691958395,0
5902707,5901691958401,5
5907733,5901691958951,0
5907734,5901691958968,15
5902708,5901691958241,0
5902709,5901691958258,5
5902710,5901691958265,5
5908153,5901691958975,5
5902711,5901691958272,0
5902712,5901691958289,5
5908154,5901691958982,1
5908155,5901691958999,15
5908769,5901691958791,0
5908770,5901691958807,1
5908766,5901691958814,1
5908767,5901691958821,0
5908768,5901691958838,1
5912770,5901691959873,0
5912771,5901691959880,0
5912772,5901691959897,1
5912773,5901691959903,0
779796,,1
775674,,1
776145,,1
776398,,1
776146,,0
776150,,0
5905778,,1
776562,,0
776563,,0
778099,,0
778095,5907644000029,15
779711,5907644000036,15
5902683,5907644000043,15
21504,5907644000050,15
780220,5907644000111,15
780256,5907644000142,15
783045,5907644000159,15
790025,5907644000302,15
783369,5907644000319,15
778301,5907644000333,15
779920,5907644000340,15
767736,5907644000401,15
778310,5907644000432,15
778303,5907644000555,15
784166,5907644000562,15
783044,5907644000654,15
786073,5907644000692,15
782688,5907644000715,15
782689,5907644000722,5
791109,5907644000739,15
791110,5907644000746,15
5902923,5907644000821,15
791111,5907644000838,15
779947,5907644000869,15
781113,5907644001002,15
781114,5907644001019,15
781435,5907644001026,15
5908159,5907644001033,15
5902928,5907644001040,15
787372,5907644001057,0
5902724,5907644001071,15
782872,5907644001149,15
782873,5907644001156,15
5904745,5907644001200,15
5904746,5907644001217,15
5907675,5907644001446,15
786374,5907644001576,15
789819,5907644001583,15
5902895,5907644001606,15
783165,5907644001620,15
5906934,5907644001637,15
787882,5907644001644,15
787883,5907644001651,15
787884,5907644001668,15
789291,5907644001675,15
5903457,5907644001682,15
5908160,5907644001699,15
5904044,5907644002016,0
5904045,5907644002030,15
5904046,5907644002047,15
5908073,5907644002061,5
18846,5907644002337,15
17138,5907644002344,15
17099,5907644002351,15
18389,5907644002368,15
13498,5907644002481,15
25400,5907644002498,5
5907263,5907644002504,15
10725,5907644002542,15
