Kodas,EAN,Likutis
TEST-001,,1
MCB0001,0769807532014,10
CT-R-BG002-BP,850036293156,2
CT-R-00050-TR,850036293224,1
CT-R-00060-ST,850036293347,1
CT-R-00092-BR,850036293149,1
CT-P-00106-BR,850036293064,1
CT-R-00102-CR,850036293361,5
CT-P-00120-CR,850036293040,0
CT-O-00048-CR,850036293477,3
CT-R-00212-ME,850036293194,1
CT-P-00202-ME,850036293057,0
,5902533915194,1
,5902533915095,1
,5902533915071,1
,5901761128703,2
,5901435415726,2
,5901435416495,2
,5903067018023,2
,5901435408681,2
,8058664143382,3
,5901435415337,1
